,plate
0,29-L5 61335
1,29-AB 020 01
2,23-N1 062.42
3,30-FZ 3499
4,29-EZ 627.23
5,"29-L5_ 382,57"
6,29-EZ 673.90
7,34-BL 387 0L
8,B0A 981.30
9,30K.20922
10,J0K 15262
11,B0F-987.25]
12,B0F-369.35
13,29-S6 036  1Z
14,304 475.05
15,B0E-465.222
16,B0F-057.36]
17,306 645.85
18,306 505.41
19,B0F.722.28
20,30H 692.30
21,[894-146.26]
22,306 12936
23,J0H-791.774
24,30F 42856 
25,20439486
26,306 791.83
27,30A 52385
28,291 26717 
29,30F 281.18
30,29A 015.19
31,306 125.82
32,J0.478.75
33,J0K 48B.16
34,30K-006.06
35,"30G 997,34"
36,J0K 04.69
37,"B0F:930,02"
38,30G-665.22
39,306 24354
40,"J0H. 301.,46"
41,30A 098.83
42,34-FT 631.59
43,29-AB 027 70
