,plate
0,"| 29-15 |
613.35"
1,"{ 29-AB |
1020.0 1)"
2,"3-N1 |
& 62.42"
3,WEN
4,
5,
6,"Q 79-€2
1673.90"
7,"3L-BL
387.04"
8,1504-98 1.30)
9,
10,"F 20K 0N
152 62"
11,30F -987.25]
12,F30F 369.35)
13,"29-S6
036.17"
14,"30H
475.05"
15,30£-465.22
16,W30R 057.36)
17,645.85
18,505.41
19,I30F-722 28%
20,". 30
692.32"
21,89A-146 26
22,1 3E5E
23,
24,428.56
25,"(304-394,86)"
26,731.83
27,PA
28,X
29,"|
NIKE"
30,"“A® |
5.19"
31,"HET,"
32,(-36E*478.75 |
33,"[ 30K. |
488.16"
34,| 30K -006.06 I
35,PERE 4
36,
37,30F-930.02
38,306-665.22
39,
40,7 30H:301.46 AN LB E
41,
42,\ER 00
43,"REAL
1027 70}"
