                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68369,                  2.221,                0.96298,                      1,                  0.637,                 0.9781,                0.77729,                0.71922,                  2.896,                0.84388,                0.00054,                0.00054,                0.00054
                      2,                0.71187,                 1.3858,                0.92534,                0.76293,                    0.6,                0.74577,                0.57588,                0.70712,                 2.7316,                0.90682,              0.0010891,              0.0010891,              0.0010891
                      3,                 0.7374,                 1.2799,                0.96139,                0.88861,                0.72524,                0.87217,                0.66952,                0.77286,                 2.2958,                0.92957,              0.0016271,              0.0016271,              0.0016271
                      4,                0.71884,                 1.1079,                0.94203,                0.76919,                0.58182,                0.74738,                0.62024,                 0.6592,                 2.2742,                 0.9699,              0.0019406,              0.0019406,              0.0019406
                      5,                0.73003,                0.98111,                0.95442,                0.86294,                0.91588,                0.94111,                 0.7679,                0.69764,                 1.6472,                 0.9629,              0.0019208,              0.0019208,              0.0019208
                      6,                0.71021,                0.88175,                0.95053,                0.84183,                0.81818,                0.93139,                0.76818,                0.68915,                 1.7674,                0.96486,               0.001901,               0.001901,               0.001901
                      7,                0.66548,                0.78268,                 0.9168,                0.94175,                0.94545,                0.97966,                0.82779,                0.64537,                 1.1327,                0.93111,              0.0018812,              0.0018812,              0.0018812
                      8,                0.63495,                0.72205,                0.92006,                0.99625,                      1,                  0.995,                 0.8925,                0.52472,                0.70662,                 0.8874,              0.0018614,              0.0018614,              0.0018614
                      9,                0.62424,                0.68259,                0.91296,                0.98181,                      1,                  0.995,                0.87639,                0.55621,                0.70218,                0.90254,              0.0018416,              0.0018416,              0.0018416
                     10,                0.61011,                0.61998,                0.91328,                0.97919,                      1,                  0.995,                0.85412,                0.56318,                 0.7226,                0.92097,              0.0018218,              0.0018218,              0.0018218
                     11,                0.61177,                0.59503,                0.91648,                0.97801,                      1,                0.99339,                0.88437,                0.54045,                0.54196,                0.89132,               0.001802,               0.001802,               0.001802
                     12,                0.58794,                0.58486,                0.91665,                0.99387,                      1,                  0.995,                0.86122,                0.54417,                0.59781,                0.90485,              0.0017822,              0.0017822,              0.0017822
                     13,                0.59965,                0.56011,                0.92277,                0.99818,                      1,                  0.995,                0.88457,                0.51189,                0.53149,                0.87999,              0.0017624,              0.0017624,              0.0017624
                     14,                0.58126,                0.54392,                0.92429,                0.99415,                      1,                  0.995,                0.87458,                 0.5274,                 0.5012,                0.90815,              0.0017426,              0.0017426,              0.0017426
                     15,                0.55945,                0.52529,                0.91262,                0.96603,                      1,                0.99321,                0.88367,                0.46701,                0.60039,                0.87467,              0.0017228,              0.0017228,              0.0017228
                     16,                0.56415,                0.52048,                0.90845,                0.98214,                      1,                  0.995,                0.87852,                0.52097,                 0.5517,                0.87892,               0.001703,               0.001703,               0.001703
                     17,                0.55753,                0.51411,                0.92814,                0.99789,                      1,                  0.995,                 0.8786,                0.53865,                0.45579,                 0.8885,              0.0016832,              0.0016832,              0.0016832
                     18,                0.54686,                0.48504,                0.88749,                0.97847,                      1,                0.99143,                0.89014,                0.46071,                0.44872,                0.87679,              0.0016634,              0.0016634,              0.0016634
                     19,                0.52862,                0.48355,                0.88357,                0.97862,                      1,                0.99179,                 0.8843,                 0.4741,                0.42518,                0.87385,              0.0016436,              0.0016436,              0.0016436
                     20,                0.52612,                0.47932,                0.88977,                0.99869,                      1,                  0.995,                0.88699,                0.49821,                0.41791,                0.86448,              0.0016238,              0.0016238,              0.0016238
                     21,                0.55745,                0.46837,                0.88641,                 0.9977,                      1,                  0.995,                0.87023,                0.57598,                0.43672,                0.87226,               0.001604,               0.001604,               0.001604
                     22,                0.54114,                0.44112,                0.90115,                 0.9985,                      1,                  0.995,                0.90375,                0.47408,                0.39128,                0.86034,              0.0015842,              0.0015842,              0.0015842
                     23,                0.52707,                0.43751,                 0.8784,                      1,                0.99902,                  0.995,                0.89447,                0.44547,                0.40097,                0.85678,              0.0015644,              0.0015644,              0.0015644
                     24,                0.51398,                0.44286,                0.88393,                0.99834,                      1,                  0.995,                 0.8865,                0.47113,                0.42633,                0.87097,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.5206,                0.43295,                0.88776,                0.99583,                      1,                  0.995,                0.92048,                0.43142,                0.38058,                0.86714,              0.0015248,              0.0015248,              0.0015248
                     26,                0.49566,                0.41205,                0.87777,                0.99272,                0.98182,                0.99465,                0.92266,                0.40509,                0.39496,                0.84328,               0.001505,               0.001505,               0.001505
                     27,                0.48148,                 0.4106,                0.87724,                0.99514,                      1,                  0.995,                0.91042,                0.46027,                0.35275,                0.88043,              0.0014852,              0.0014852,              0.0014852
                     28,                0.51475,                0.42333,                0.88495,                0.99775,                      1,                  0.995,                0.86457,                  0.557,                0.38195,                0.91038,              0.0014654,              0.0014654,              0.0014654
                     29,                0.48556,                0.41356,                0.89386,                0.98043,                      1,                  0.995,                0.90614,                0.43497,                0.34409,                0.88112,              0.0014456,              0.0014456,              0.0014456
                     30,                0.46695,                0.39108,                0.86549,                 0.9967,                      1,                  0.995,                0.90803,                0.44609,                0.33953,                0.85805,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.4925,                0.41341,                0.87648,                0.99827,                      1,                  0.995,                0.88173,                 0.5427,                0.37352,                0.89562,               0.001406,               0.001406,               0.001406
                     32,                0.50095,                0.41274,                0.87758,                0.99775,                      1,                  0.995,                0.87374,                0.52282,                0.37127,                0.88119,              0.0013862,              0.0013862,              0.0013862
                     33,                0.49058,                 0.3832,                0.87699,                0.99769,                      1,                  0.995,                0.90511,                0.45252,                0.34838,                0.86437,              0.0013664,              0.0013664,              0.0013664
                     34,                0.45281,                0.37748,                0.86437,                0.99852,                      1,                  0.995,                0.92868,                0.39598,                0.31792,                0.84719,              0.0013466,              0.0013466,              0.0013466
                     35,                0.45712,                0.37272,                0.88338,                0.99854,                      1,                  0.995,                0.91719,                0.39916,                0.31285,                0.85732,              0.0013268,              0.0013268,              0.0013268
                     36,                0.44325,                0.36835,                0.86792,                0.98246,                      1,                  0.995,                0.91701,                0.44033,                0.32844,                0.85614,               0.001307,               0.001307,               0.001307
                     37,                0.42539,                0.36962,                0.86168,                0.99872,                      1,                  0.995,                0.93647,                0.38729,                0.31521,                0.84582,              0.0012872,              0.0012872,              0.0012872
                     38,                0.42553,                0.35132,                0.87283,                0.99862,                      1,                  0.995,                0.92139,                0.40701,                0.32682,                0.85622,              0.0012674,              0.0012674,              0.0012674
                     39,                0.42919,                0.35042,                 0.8764,                0.99889,                      1,                  0.995,                0.91153,                0.41452,                0.30328,                0.86587,              0.0012476,              0.0012476,              0.0012476
                     40,                0.42349,                0.34453,                0.86355,                0.99885,                      1,                  0.995,                0.92307,                0.40916,                0.28592,                0.86318,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41839,                0.35298,                 0.8639,                0.99887,                      1,                  0.995,                   0.93,                0.37569,                0.27982,                0.85806,               0.001208,               0.001208,               0.001208
                     42,                0.43429,                 0.3461,                0.86717,                0.99881,                      1,                  0.995,                0.93766,                0.37467,                0.28959,                0.85202,              0.0011882,              0.0011882,              0.0011882
                     43,                0.42824,                0.35524,                0.86335,                0.99879,                      1,                  0.995,                0.93745,                0.38068,                0.28278,                0.86089,              0.0011684,              0.0011684,              0.0011684
                     44,                0.42297,                0.36098,                0.86327,                0.99893,                      1,                  0.995,                 0.9573,                0.35349,                0.27418,                0.86575,              0.0011486,              0.0011486,              0.0011486
                     45,                0.41327,                0.35004,                0.85998,                0.99885,                      1,                  0.995,                0.94159,                0.39803,                0.28893,                0.86733,              0.0011288,              0.0011288,              0.0011288
                     46,                0.43222,                 0.3508,                0.86915,                  0.999,                      1,                  0.995,                0.93743,                0.42576,                0.31145,                0.85197,               0.001109,               0.001109,               0.001109
                     47,                0.42592,                0.33761,                  0.864,                0.99862,                      1,                  0.995,                0.93151,                0.38546,                0.28192,                0.86565,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.4084,                0.32994,                0.85235,                0.99874,                      1,                  0.995,                0.92722,                 0.3816,                0.28765,                0.86209,              0.0010694,              0.0010694,              0.0010694
